time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.218306,0.6357,0.0235,0.2477,0.683
1.225999,1.0092,0.0248,0.7305,1.246
1.238945,-0.2288,0.0352,0.1966,0.304
1.246416,-1.1633,-0.1118,0.2837,1.203
1.257367,-0.6203,0.1529,0.3221,0.715
1.266284,0.1038,0.1818,0.2762,0.347
1.277927,-0.5360,-0.1925,-0.3808,0.685
1.286093,-0.0767,-0.1934,-0.2776,0.347
1.297171,-0.6879,-0.2917,0.2241,0.780
1.306407,-0.7208,-0.2129,0.0954,0.758
1.316904,-0.2987,-0.1242,0.7518,0.818
1.326232,1.2527,0.1500,0.0096,1.262
1.339499,2.1297,0.5609,-0.7097,2.314
1.346123,-0.4348,0.1779,-0.4722,0.666
1.358214,-1.2406,-0.2638,-0.0496,1.269
1.365948,-0.2889,-0.1462,-0.0781,0.333
1.377028,-0.6531,-0.2636,0.5381,0.886
1.386036,-0.1653,-0.1460,0.0289,0.222
1.397198,-0.1215,-0.0378,0.1263,0.179
1.406948,-0.7521,-0.2043,0.0278,0.780
1.416754,0.0443,0.0608,-0.2180,0.231
1.426025,-0.4509,-0.0169,-0.3286,0.558
1.442470,-0.4694,-0.1234,-0.0109,0.485
1.446125,0.1312,-0.0731,0.3272,0.360
1.457435,0.1209,-0.1599,0.6549,0.685
1.466526,0.3014,-0.1889,0.3986,0.534
1.477483,0.3731,-0.1101,0.2221,0.448
1.485912,-0.3647,-0.0414,0.0456,0.370
1.497041,-0.7221,-0.0021,-0.1693,0.742
1.506055,-0.5805,0.0175,-0.5120,0.774
1.518338,-0.5819,-0.1285,-0.3381,0.685
1.526118,-0.6506,0.0394,0.6867,0.947
1.537052,-0.3636,0.4919,0.4678,0.770
1.546014,0.5252,0.1779,0.2661,0.615
1.557231,3.0484,0.1672,-3.6278,4.741
1.566161,-0.5114,-0.1145,2.2423,2.303
1.577336,-1.8609,-0.3973,0.8499,2.084
1.586076,-0.4642,-0.0347,-0.8924,1.007
1.597810,1.0335,0.1139,-0.2309,1.065
1.607190,0.9308,-0.0419,-0.2742,0.971
1.616950,0.1944,-0.2172,0.0823,0.303
1.626150,-0.0887,-0.2849,0.6753,0.738
1.636723,-0.0086,-0.2743,0.7296,0.780
1.646407,-0.0955,-0.2253,0.5529,0.605
1.657086,-0.0539,-0.0593,0.1539,0.174
1.665984,0.1241,0.2341,-0.2842,0.389
1.677864,0.1370,0.2427,-0.5534,0.620
1.686053,0.2578,-0.0127,0.0961,0.275
1.697938,0.0779,-0.2491,0.7369,0.782
1.709583,-0.5248,-0.2209,0.6440,0.860
1.718289,-0.8615,-0.1939,0.5672,1.050
1.726495,-0.6343,-0.1370,0.5967,0.882
1.737006,-0.3605,-0.1110,0.6841,0.781
1.746273,-0.1660,-0.0354,0.5528,0.578
1.759182,-0.2183,-0.0012,0.3461,0.409
1.765926,-0.2599,-0.0638,0.3480,0.439
1.777172,-0.2541,-0.1874,0.6186,0.695
1.786392,-0.5316,-0.2604,0.8699,1.052
